Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Government of Tripura,Department of Health and Family Welfare,LFPHC,Lefunga PHC,Lefunga PHC,West Tripura, ,NA,MOIC,3
Government of Tripura,Department of General Administration Administrative Reforms,LOKTR,Lokayukta Tripura,O/o the Lokayukta Tripura ,Old Secretariat Complex ,Agartala.,799001,Nodal Officer,3
Government of Tripura,Department of Health and Family Welfare,LVSDH,Longtharai Valley Sub Divisional,Chailengta,Dhalai, ,799273,M.O. Gr. IV THS,3
Government of Tripura,Directorate of Labour,NDLAB,North District Labour Office,Kalibari Road,Dharmanagar,North tripura,799250,Labour Officer,4
Government of Tripura,TFDPC Ltd,NDKGT,Northern Forest Corporation Division,Divisional Manager,Northern Forest Corporation Division,Kumarghat  North Tripura,799264,Divisional Manager,4
Government of Tripura,Department of Health and Family Welfare,NBCHC,Natunbazar CHC,Natunbazar CHC, , ,NA,MOIC,3
Government of Tripura,Department of Health and Family Welfare,MSDHS,Medical Superintendent Dist. Hospital Santirbazar,Santirbazar,South Tripura, ,799155,Medical Superintendent,3
Government of Tripura,Department of Health and Family Welfare,MSDHK,Medical Superintendent Khowai Dist. Hospital,Khowai DIst. Hospital,Khowai,Khowai District,799201,Asstt. Hospital Administrator,3
Government of Tripura,Department of Health and Family Welfare,MSDHN,Medical Superintendent  Dis. Hospital Dharmanagar,District Hospital,Dharmanagar,North TRipura,799253,MO Gr. IV of THS,3
Government of Tripura,Department of Health and Family Welfare,MSGDH,Medical Superintendent Dist. Hospital Gomati,Dist. Hospital Gomati,Tepania  Udaipur,Gomati Tripura,799120,Medical Superintendent,3
Government of Tripura,Department of Health and Family Welfare,MPPHC,Madhupur PHC,Madhupur PHC, , ,NA,MOIC,3
Government of Tripura,Department of Health and Family Welfare,MPCHC,Mohonpur CHC,Mohanpur CHC,West, ,NA,MOIC,3
Government of Tripura,DM and Collector West District Tripura,MNPUR,Office of the Sub Divisional Magistrate,Sub Divisional Magistrate Mohanpur,Mohanpur,Mohanpur,NA,SDM Mohanpur,4
Government of Tripura,Department of Health and Family Welfare,MLSDH,Melaghar Sub Division Hospital,Melaghar,Sonamura,Sepahijala Tripura,799115,SDMO,3
Government of Tripura,DM and Collector West District Tripura,MHNPR,BDO Mohanpur,Block Development Officer,Mohanpur,West Tripura,NA,BDO Mohanpur,4
Government of Tripura,Department of Health and Family Welfare,MHPHC,Maharani PHC,Maharani PHC, , ,NA,MOIC,3
Government of Tripura,Department of Health and Family Welfare,MDPHC,Mandai PHC,Mandai PHC,West, ,NA,MOIC,3
Government of Tripura,Government of Tripura,PASJD,Superintendent of Police Sepahijala,Dy. SP(HQr)  Sepahijala District ,Tripura  Bishramganj, ,799103,DSP HQ,2
Government of Tripura,Government of Tripura,PASTD,Superintendent of Police South Tripura,Dy. SP  South District  Tripura  Belonia,NA,NA,799155,Dy. SP South,2
Government of Tripura,Government of Tripura,PAUKD,Superintendent of Police Unakoti,Dy. SP(HQr) Unakoti District ,Tripura  Kailashahar., ,799290,SDP HQ,2
Government of Tripura,Government of Tripura,PAWTD,Superintendent of Police West Tripura,Dy. SP(HQr)  West District,Agartala  Tripura, ,799001,Dy. SP,2
Government of Tripura,Department of Health and Family Welfare,OPCHC,Ompi CHC,Ompi CHC, , ,NA,MOIC,3
Government of Tripura,Government of Tripura,PAKWD,Superintendent of Police Khowai,Dy. SP  Khowai District,Tripura  Khowai, ,799201,Deputy Superintendent Police,2
Government of Tripura,Government of Tripura,PAGMD,Superintendent of Police Gomati,Dy SP HQr Gomati District,Tripura  Udaipur,NA,799116,Deputy Superintendent Police,2
Government of Tripura,Government of Tripura,PADLD,Superintendent of Police Dhalai,Dhalai,Ambassa ,NA,799289,Deputy Superintendent Police,2
Government of Tripura,Government of Tripura,PANTD,Superintendent of Police North Tripura,Addl. SP  North District Tripura  Dharmanagar,NA,NA,799250,Deputy Superintendent Police,2
Government of Tripura,DM and Collector West District Tripura,OLDAG,BDO Old Agartala,Block Development Officer,Old Agartala,West Tripura,NA,BDO Old Agartala,4
Government of Tripura,Department of Health and Family Welfare,NGPHC,Narsingarh PHC,Narsingarh PHC,West Tripura, ,NA,MOIC,3
Government of Tripura,Department of Health and Family Welfare,NHMTP,NHM Tripura,NHM Tripura, , ,NA,Member Secretary,3
Government of Tripura,Department of Public Works Roads and Buildings,NHPWD,PWD National Highways,Pandit Nehru Complex,Gurkhabasti  Agartala,West Tripura,799006,Deputy Secretary,3
Government of Tripura,District Administration Unakoti District,PCHBD,BDO Pecharthal,Office of the BDO,Pecharthal,Unakoti District,799263,BDO,3
Government of Tripura,Department of Urban Development,PGAMB,Ambassa Municipal Council,Ambassa Municipal Council,PO- Ambassa  PS-Ambassa, ,799289,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGAMC,Agartala Municipal Corporation,AMC  City Center  Agartala,p.o- Head post office  Agartala, ,799001,Asst. Municipal Commissioner,3
Government of Tripura,Department of Urban Development,PGAMP,Amarpur Nagar Panchayat,AMARPUR NAGAR PANCHAYAT,PO AMARPUR  DISTRICT GOMATI, ,799101,Executive Officer,3
Government of Tripura,Department of Urban Development,PGSBM,Sabroom Nagar Panchayat,SABROOM NAGAR PANCHAYAT,P.O- SABROOM  SOUTH TRIPURA, ,799145,Executive Officer,3
Government of Tripura,Department of Urban Development,PGSNM,Sonamura Nagar Panchayat,Sonamura Nagar Panchayat,Sonamura  Sepahijala, ,799131,Executive Officer,3
Government of Tripura,Department of Urban Development,PGTCP,TCPO,T.C.P.O  UDD,Gurkhabasti  Agartala, ,799006,T.C.P.O,3
Government of Tripura,Department of Urban Development,PGUDP,Udaipur Municipal Council,Udaipur  P.O-R.K.Pur Gomati District Tripura,NA,NA,799120,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGSTB,Santirbazar Municipal Council,SantirBazar,P.O- SANTIRBAZAR (SUB OFFICE) ,South Tripura,799144,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGTLM,Teliamura Municipal Council,Near Teliamura Motor Stand Vill- Netajinagar  P/S., Teliamura P.O- Teliamura  Khowai Tripura,NA,799205,Chief Municipal Council,3
Government of Tripura,Department of Urban Development,PGDMR,Dharmanagar Municipal Council,W Market Rd  Power House Quater,Complex  Dharmanagar, ,799250,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGBLG,Bishalgarh Municipal Council,Bishalgarh,P.O- Bishalgarh S O,West Tripura,799102,Assistant Town Supervisor,3
Government of Tripura,Department of Urban Development,PGBLN,Belonia Municipal Council,Vill-ARYYA COLONY,P.O.- BELONIA  Dist. SOUTH TRIPURA, ,799155,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGPNS,Panisagar Nagar Panchayat,panisagar,P.O- PANISAGAR (SUB OFFICE),NORTH TRIPURA,799260,Executive Officer,3
Government of Tripura,Department of Urban Development,PGRNB,RANIRBAZAR MUNICIPAL COUNCIL,RANIRBAZAR MUNICIPAL COUNCIL,P.O- Ranirbazar  Dt. - Tripura (West), ,799035,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGKMP,Kamalpur Nagar Panchayat,Kamalpur Nagar Panchayat,PS Kamalpur   District Dhalai, ,799285,Executive Officer,3
Government of Tripura,Department of Urban Development,PGKMR,Kumarghat Municipal Council,Kumarghat,Unakoti, ,799264,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGKHW,Khowai Municipal Council,Khowai Municipal Council  Bankar PS  Khowai  Distr,ict  Khowai Tripura,NA,799201,Chief Executive Officer,3
Government of Tripura,Department of Urban Development,PGJRN,Jirania Nagar Panchayat,JIARANIA NAGAR PANCHAYAT BANKIMNAGAR  P.O-BIRENDRA,NAGAR DISTRICT- WEST TRIPURA,NA,799045,Executive Officer,3
Government of Tripura,Department of Urban Development,PGMHN,Mohanpur Municipal Council,Mohanpur,P.O- MOHANPUR (SUB OFFICE),WEST TRIPURA,799211,Executive officer,3
Government of Tripura,Department of Urban Development,PGMLG,Melaghar Municipal Council,Melaghar,P.O- Melaghar S.O,West Tripura,799115,Cheif Executive officer,3
Government of Tripura,SDPO PNS,PNSPS,Panisagar PS,Panisagar Police Station,North Tripura, ,799260,Sub Inspector,4
Government of Tripura,Superintendent of Police North Tripura,PNS02,SDPO PNS,SDPO Office Panisagar,North Tripura,Panisagar,799260,Dy.SP,3
Government of Tripura,District Administration South Tripura District,PNBSD,BDO Poangbari,O/o. the BDO,Poangbari RD Block,Poangbari  South Dist.,NA,BDO Poangbari,3
Government of Tripura,Director General of Police Tripura,PRPTA,Principal PTA,Agartala, , ,NA,Nodal Officer,4
Government of Tripura,Department of GA Political,PSLKA,Passport Seva Laghu Kendra Agartala,Passport Seva Laghu Kendra  1st floor ,Jaction Gate Building  Lenin Sarani  Agartala ,Tripura,799001,Passport Officer,3
Government of Tripura,Department of Health and Family Welfare,HDMPH,Modern Psychiatric Hospital,Modern Psychiatric Hospital,Narsingarh,Agartala,799009,Medical Officer Gr  II,3
Government of Tripura,Department of Health and Family Welfare,HMPHC,Hezamara PHC,Hezamara PHC,West Tripura, ,NA,MOIC,3
Government of Tripura,Government of Tripura,HEDUC,Department of Higher Education,Shiksha Bhavan,Office Lane  Agartala,Tripura,799001,Joint Director,2
Government of Tripura,DM and Collector West District Tripura,HEZAM,BDO Hezama,BDO Hezamara,Hezamara,West Tripura,NA,BDO Hezamara,4
Government of Tripura,Directorate of Handloom Handicraft Sericulture,HHS01,THHDCL,MBB Sarani,Agartala, ,NA,Asst.Marketing Officer,4
Government of Tripura,District Administration South Tripura District,HRMSD,RD Block Hrishyamukh,O/o. the BDO RD Block  Hrishyamukh Hrishyamukh  So,uth Dist.,NA,NA,BDO Hrishyamukh,3
Government of Tripura,Department of Finance,IFTRP,Directorate of SS GI IF,Gorkhabasti, , ,799006,Development Officer,3
Government of Tripura,Department of Health and Family Welfare,IGMHO,I.G.M. Hospital,I.G.M. Hospital,Agartala,West,799001,R.M.O.,3
Government of Tripura,Department of Health and Family Welfare,JNCHC,Jirania CHC,Jirania,West, ,NA,MOIC,3
Government of Tripura,DM and Collector West District Tripura,JIRAN,Office of the Sub Divisional Magistrate,Sub Divisional Magistrate Jirania,Jirania,Jirania,NA,SDM Jirania,4
Government of Tripura,SDM Santirbazar,JLBRC,Jolaibari Revenue Circle,O/o. the Jolaibari Revenue Circle,Jolaibari,South Dist.,799141,RI Jolaibari Revenue Circle,4
Government of Tripura,District Administration South Tripura District,JLBSD,BDO Jolaibari,O/o. the BDO,Jolaibari RD Block,Jolaibari  South Dist.,NA,BDO Jolaibari,3
Government of Tripura,Department of Urban Development,KAILS,Kailashahar Municipal Council,Old Motor Stand  PS Kailashahar,District Unakoti   Tripura, ,799277,chief Executive officer,3
Government of Tripura,Department of Health and Family Welfare,KAPHC,Killa PHC,Killa PHC, , ,NA,MOIC,3
Government of Tripura,DM and Collector West District Tripura,JRNIA,BDO Jirania,Block Development Officer,Jirania,West Tripura,NA,BDO Jirania,4
Government of Tripura,DM and Collector West District Tripura,EXERD,EXecutive Engineer RD,Sonaranjan Debbarma,EE  RD Gorkhabasti,West Tripura,NA,Executive Engineer RD,4
Government of Tripura,Department of Power,EDKMP,DGM ED Kamalpur,DGM ED Kamalpur  Dhalai, , ,799285,Manager,3
Government of Tripura,Department of Power,EDKNP,DGM ED Kanchanpur,DGM ED Kanchanpur  Unakoti, , ,799270,DGM,3
Government of Tripura,Department of Power,EDKSH,DGM ED Kailasahar,DGM ED Kailasahar  Unakoti, , ,799282,Asst. Manager,3
Government of Tripura,Department of Power,EDKGT,DGM ED Kumarghat,DGM ED Kumarghat  Unakoti, , ,799264,Asst. Manager,3
Government of Tripura,Department of Power,EDJMP,DGM ED Jampuijala,DGM ED Jampuijala  Sepahijala, , ,799102,DGM,3
Government of Tripura,Department of Power,EDJRN,DGM ED Jirania,DGM ED Jirania  West Tripura, , ,799045,DGM,3
Government of Tripura,Department of Power,EDMNP,DGM ED Mohanpur,DGM ED Mohanpur  West Tripura, , ,799211,Manager,3
Government of Tripura,Department of Power,EDMNU,DGM ED Manu,DGM ED Manu Dhalai, , ,NA,Manager,3
Government of Tripura,Department of Power,EDUDP,DGM ED  Udaipur,DGM ED  Udaipur  Gomati, , ,799116,Sr. Manager,3
Government of Tripura,Department of Power,EDXKH,DGM ED X Office Tilla Khowai,DGM ED X  Office Tilla  Khowai, , ,799201,Sr. Manager,3
Government of Tripura,Department of Power,EDPNS,DGM ED Panisagar,DGM ED Panisagar  TSECL,O/O The DGM ED Panisagar  North Tripura,NA,799102,DGM,3
Government of Tripura,Department of Power,EDSNM,DGM ED Sonamura,DGM ED Sonamura  Sepahijala, , ,799131,Manager,3
Government of Tripura,Department of Power,EDSNT,DGM ED Shantirbazar,DGM ED Shantirbazar  Bogafa,South Tripura, ,799141,Sr. Manager,3
Government of Tripura,Department of Power,EDSBR,DGM ED Sabroom,DGM ED Sabroom  South Tripura, , ,799143,Sr. Manager,3
Government of Tripura,Department of Power,EDTLM,DGM ED Teliamura,DGM ED Teliamura  Khowai, , ,799205,Sr. Manager,3
Government of Tripura,Department of Power,EDDNR,DGM ED Dharmanagar Chandrapur,DGM ED Dharmanagar  Chandrapur  North Tripura, , ,799250,DGM,3
Government of Tripura,Department of Power,EDAMP,DGM ED Amarpur Birganj,DGM ED Amarpur Birganj  Gomati, , ,799101,Sr. Manager,3
Government of Tripura,Department of Power,EDAMB,DGM ED Ambassa,DGM ED Ambassa  Dhalai, , ,799289,Sr. Manager,3
Government of Tripura,Department of Power,EDBLN,DGM ED Belonia,DGM ED Belonia  South Tripura, , ,799155,Manager,3
Government of Tripura,Department of Power,EDBSG,DGM ED Bishalgarh,DGM ED Bishalgarh  Gokul Nagar, , ,799102,Sr. Manager,3
Government of Tripura,Department of Power,ED2AG,DGM ED ll Bardowali,DGM ED ll  Bardowali  Agartala, , ,799003,Manager,3
Government of Tripura,Department of Power,ED1AG,DGM Electrical Division No.l Agartala,DGM Electrical Division No.l   Banamalipur  Agarta,Banamalipur,NA,799001,DGM,3
Government of Tripura,District Administration Gomati District,EERDU,EE RD udaipur Division,O/o the E.E  R.D Udaipur Division,East Bank of Jaganath Dighi,Udaipur  Gomati District,799120,Assistant Engineer,3
Government of Tripura,District Administration North Tripura District,EEPWD,Executive engineer office pwd kanchanpur,kanchanpur, , ,799260,Assitant Engineer,3
Government of Tripura,Department of Labour,FBOTR,Factories and Boilers Organisation,Factories and Boilers Office ,Suraksha Bhawan  P.N. Complex  Gurkhabasti,Agartala ,799006,Inspector of Factories,3
Government of Tripura,Government of Tripura,GADAR,Department of General Administration Administrative Reforms,New Capital Complex Khejurbagan Agartala,NA,NA,799006,Section Officer,2
Government of Tripura,Government of Tripura,GAPOL,Department of GA Political,New Secretariat Building ,Kunjaban  Agartala,Tripura,799006,Office Superintendent,2
Government of Tripura,District Administration Gomati District,FSHRU,Fishery Department Administration Udaipur,O/o the Dy. Director of Fisheries  Gomati,Gomati District  Udaipur,West bank of Amarsagar,799120,Fishery Officer,3
